"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"BATF2",11.2624810217482,7.41132136649993,1.92549868011977,3.84903996196919,0.00011858166281966,0.00355958264830959
"BCL2L14",39.756479895458,3.19154172068655,1.00090241962472,3.18866420752904,0.00142931804505537,0.0240234825498229
"BPI",197.074951412765,2.83917293380695,0.483187741976249,5.87592086296451,4.20499184357091e-09,6.94864493754441e-07
"C10orf55",17.2259625097772,3.35571915707176,1.12204650314712,2.99071308333446,0.00278326869116568,0.0387106287129627
"C11orf65",21.8888371725458,-3.00021871159235,0.992177406306196,-3.02387324335669,0.00249560976679911,0.0357514300003258
"C15orf48",5243.39382279116,2.63677273164096,0.406240837490316,6.49066388285943,8.54589473877062e-11,2.16033043469121e-08
"C1orf122",310.347809659986,3.49010590139863,0.50980691169406,6.84593680733203,7.5977014109013e-12,2.22466029031478e-09
"C1QTNF1",45.9533029104852,6.90994039457763,1.25144827170373,5.52155494623075,3.36012702332938e-08,4.24852424389146e-06
"C1RL-AS1",28.5305248959178,-3.03260038077328,0.927571095107882,-3.26939939888982,0.00107776054231443,0.019446295622949
"C22orf42",56.8451753746553,4.07436770845799,0.816846567274386,4.9879229119529,6.1031910798423e-07,4.78226568650554e-05
"C2CD2L",25.3035532093148,-3.87665877848014,1.01957297090745,-3.80223769077537,0.000143395054382194,0.00416219731763272
"C9orf47",49.4506553517459,-2.31658442115054,0.716917149057392,-3.23131400078294,0.00123222492036433,0.021579911726553
"CA2",643.799211636766,3.08505109448703,0.538334311314485,5.73073465622888,9.99965874952213e-09,1.47694074804889e-06
"CACNA1I",27.8129174756362,-3.86390016332612,1.01782703882821,-3.79622471787988,0.000146916334442906,0.00422810482958383
"CAMK1",57.766532928385,-3.77281048769213,0.830890839923645,-4.54068128617092,5.60727410103946e-06,0.000300917700149031
"CAMK1G",18.9203983952716,4.2410854896568,1.24869518577914,3.39641374288675,0.000682750724168786,0.0139177107379252
"CAMK2N1",34.3575742544979,2.48905630809714,0.786321315997349,3.16544427507995,0.0015484631887207,0.0256133306439529
"CAMP",213.568261307408,3.02069026433974,0.565701763461953,5.33972219894433,9.30891134651898e-08,9.95934169060268e-06
"CARD17",65.5087554633973,2.02527890234222,0.703353565922829,2.87946063042272,0.00398356030897612,0.0497758655058528
"CARD9",91.9023031847697,-2.22460372559526,0.57967073065099,-3.83770235060333,0.000124190886895924,0.00369473422868624
"CASP4",2404.63366876326,2.05722841616684,0.428167549626016,4.80472753706752,1.54962382895003e-06,0.00010582967697284
"CASP5",185.634948732021,2.90580908867667,0.719977864796615,4.03597003568648,5.43771563866474e-05,0.00192278546629904
"CATIP",144.06926678424,-2.92375686261273,0.618999268925163,-4.72336076856694,2.31978795561788e-06,0.000145553612703994
